mechanism,geometry,schedule,severity,mover_frac,noise,epoch,effective_rank,top_k_variance_fraction,total_persistence_h1,projection_residual
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,10,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,12,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,14,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,16,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,18,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,20,3.993891980867877,1.0,42.41167622256158,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,22,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,24,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,26,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,28,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,30,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,32,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,34,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,36,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,38,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,40,3.993891980867877,1.0,42.401043895569984,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,42,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,44,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,46,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,48,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,moderate,1.0,0.0,50,3.993891980867877,1.0,42.4057563485224,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,0,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,2,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,4,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,6,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,8,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,10,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,12,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,14,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,16,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,18,3.993891980867877,1.0,42.40320202092132,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,20,3.993891980867877,1.0,42.419552081876034,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,22,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,24,3.993891980867877,1.0,42.39256969392972,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,26,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,28,3.993891980867877,1.0,42.40791447387374,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,30,3.993891980867877,1.0,42.4057563485224,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,32,3.993891980867877,1.0,42.41167622256158,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,34,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,36,3.993891980867877,1.0,42.416388675514,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,38,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,40,3.993891980867877,1.0,42.40320202092132,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,42,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,44,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,46,3.993891980867877,1.0,42.401043895569984,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,48,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,0.25,0.0,50,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,0,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,2,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,4,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,6,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,8,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,10,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,12,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,14,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,16,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,18,3.993891980867877,1.0,42.4057563485224,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,20,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,22,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,24,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,26,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,28,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,30,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,32,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,34,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,36,3.993891980867877,1.0,42.416388675514,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,38,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,40,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,42,3.993891980867877,1.0,42.39256969392972,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,44,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,46,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,48,3.993891980867877,1.0,42.419552081876034,0.0
linear_to_kplane,kcube,exponential,strong,0.5,0.0,50,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,0,3.993891980867877,1.0,42.419552081876034,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,2,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,4,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,6,3.993891980867877,1.0,42.416388675514,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,8,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,10,3.993891980867877,1.0,42.419552081876034,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,12,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,14,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,16,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,18,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,20,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,22,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,24,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,26,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,28,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,30,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,32,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,34,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,36,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,38,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,40,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,42,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,44,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,46,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,48,3.993891980867877,1.0,42.39256969392972,0.0
linear_to_kplane,kcube,exponential,strong,1.0,0.0,50,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,0,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,2,3.993891980867877,1.0,42.419552081876034,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,4,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,6,3.993891980867877,1.0,42.419552081876034,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,8,3.993891980867877,1.0,42.39256969392972,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,10,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,12,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,14,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,16,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,18,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,20,3.993891980867877,1.0,42.40320202092132,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,22,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,24,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,26,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,28,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,30,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,32,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,34,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,36,3.993891980867877,1.0,42.401043895569984,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,38,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,40,3.993891980867877,1.0,42.4057563485224,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,42,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,44,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,46,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,48,3.993891980867877,1.0,42.4057563485224,0.0
linear_to_kplane,kcube,exponential,weak,0.25,0.0,50,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,0,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,2,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,4,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,6,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,8,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,10,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,12,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,14,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,16,3.993891980867877,1.0,42.419552081876034,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,18,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,20,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,22,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,24,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,26,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,28,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,30,3.993891980867877,1.0,42.401043895569984,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,32,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,34,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,36,3.993891980867877,1.0,42.416388675514,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,38,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,40,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,42,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,44,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,46,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,48,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,weak,0.5,0.0,50,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,0,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,2,3.993891980867877,1.0,42.419552081876034,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,4,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,6,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,8,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,10,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,12,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,14,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,16,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,18,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,20,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,22,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,24,3.993891980867877,1.0,42.40791447387374,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,26,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,28,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,30,3.993891980867877,1.0,42.41167622256158,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,32,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,34,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,36,3.993891980867877,1.0,42.39728214688214,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,38,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,40,3.993891980867877,1.0,42.419552081876034,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,42,3.993891980867877,1.0,42.419552081876034,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,44,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,46,3.993891980867877,1.0,42.4057563485224,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,48,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,exponential,weak,1.0,0.0,50,3.993891980867877,1.0,42.416388675514,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,0,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,2,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,4,3.993891980867877,1.0,42.40320202092132,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,6,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,8,3.993891980867877,1.0,42.40791447387374,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,10,3.993891980867877,1.0,42.4051580061966,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,12,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,14,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,16,3.993891980867877,1.0,42.40320202092132,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,18,3.993891980867877,1.0,42.41107788023578,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,20,3.993891980867877,1.0,42.4157903331882,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,22,3.993891980867877,1.0,42.40791447387374,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,24,3.993891980867877,1.0,42.39256969392972,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,26,3.993891980867877,1.0,42.42426453482845,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,28,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,30,3.993891980867877,1.0,42.40044555324418,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,32,3.993891980867877,1.0,42.41363220783686,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,34,3.993891980867877,1.0,42.401043895569984,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,36,3.993891980867877,1.0,42.40891975488444,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,38,3.993891980867877,1.0,42.416388675514,0.0
linear_to_kplane,kcube,linear,moderate,0.25,0.0,40,3.993891980867877,1.0,42.41107788023578,0.0
